Data from bluEgizioWhite_Reflection__6__29.txt Node;
Date: Fri Sep 12 11:05:33 CEST 2025;
338,581;34,64
338,843;34,82
339,105;35
339,366;35,16
339,628;35,34
339,889;35,51
340,151;35,68
340,412;35,82
340,674;35,99
340,935;36,16
341,197;36,34
341,458;36,49
341,72;36,66
341,981;36,8
342,243;36,95
342,504;37,12
342,766;37,26
343,027;37,4
343,288;37,53
343,55;37,67
343,811;37,82
344,072;37,98
344,334;38,12
344,595;38,25
344,856;38,4
345,117;38,53
345,379;38,68
345,64;38,8
345,901;38,97
346,162;39,11
346,423;39,25
346,684;39,36
346,946;39,51
347,207;39,64
347,468;39,79
347,729;39,91
347,99;40,05
348,251;40,21
348,512;40,37
348,773;40,53
349,034;40,69
349,295;40,83
349,556;40,98
349,817;41,12
350,078;41,27
350,339;41,4
350,6;41,56
350,86;41,71
351,121;41,88
351,382;42,01
351,643;42,16
351,904;42,3
352,165;42,47
352,425;42,62
352,686;42,8
352,947;42,95
353,208;43,12
353,468;43,27
353,729;43,42
353,99;43,55
354,25;43,71
354,511;43,85
354,772;44,01
355,032;44,16
355,293;44,32
355,553;44,47
355,814;44,62
356,074;44,75
356,335;44,9
356,596;45,03
356,856;45,18
357,116;45,3
357,377;45,46
357,637;45,6
357,898;45,74
358,158;45,86
358,419;46,01
358,679;46,14
358,939;46,32
359,2;46,44
359,46;46,59
359,72;46,72
359,981;46,88
360,241;47
360,501;47,15
360,761;47,31
361,022;47,46
361,282;47,6
361,542;47,76
361,802;47,9
362,062;48,08
362,323;48,21
362,583;48,38
362,843;48,52
363,103;48,69
363,363;48,83
363,623;48,98
363,883;49,11
364,143;49,28
364,403;49,39
364,663;49,55
364,923;49,7
365,183;49,84
365,443;50,02
365,703;50,19
365,963;50,32
366,223;50,43
366,483;50,55
366,743;50,71
367,002;50,86
367,262;51
367,522;51,12
367,782;51,27
368,042;51,42
368,301;51,56
368,561;51,68
368,821;51,81
369,081;51,93
369,34;52,07
369,6;52,19
369,86;52,34
370,119;52,46
370,379;52,58
370,638;52,74
370,898;52,83
371,158;52,96
371,417;53,09
371,677;53,26
371,936;53,42
372,196;53,53
372,455;53,64
372,715;53,81
372,974;53,95
373,234;54,09
373,493;54,24
373,753;54,36
374,012;54,52
374,271;54,64
374,531;54,8
374,79;54,95
375,049;55,1
375,309;55,23
375,568;55,37
375,827;55,55
376,086;55,67
376,346;55,8
376,605;55,94
376,864;56,11
377,123;56,23
377,383;56,36
377,642;56,5
377,901;56,64
378,16;56,76
378,419;56,9
378,678;57,02
378,937;57,16
379,196;57,3
379,455;57,41
379,714;57,53
379,973;57,65
380,232;57,79
380,491;57,9
380,75;58,05
381,009;58,18
381,268;58,29
381,527;58,43
381,786;58,57
382,045;58,7
382,304;58,82
382,563;58,93
382,821;59,08
383,08;59,21
383,339;59,37
383,598;59,48
383,857;59,58
384,115;59,74
384,374;59,89
384,633;59,99
384,891;60,12
385,15;60,28
385,409;60,41
385,667;60,51
385,926;60,63
386,185;60,73
386,443;60,85
386,702;60,99
386,96;61,12
387,219;61,21
387,477;61,3
387,736;61,41
387,994;61,57
388,253;61,69
388,511;61,79
388,77;61,87
389,028;62,03
389,287;62,16
389,545;62,29
389,803;62,4
390,062;62,53
390,32;62,65
390,578;62,76
390,837;62,89
391,095;63,03
391,353;63,16
391,612;63,28
391,87;63,43
392,128;63,57
392,386;63,67
392,644;63,83
392,903;63,96
393,161;64,06
393,419;64,14
393,677;64,26
393,935;64,38
394,193;64,48
394,451;64,6
394,709;64,72
394,967;64,8
395,225;64,87
395,483;64,98
395,741;65,08
395,999;65,19
396,257;65,31
396,515;65,39
396,773;65,51
397,031;65,62
397,289;65,75
397,547;65,82
397,805;65,94
398,062;66,04
398,32;66,16
398,578;66,28
398,836;66,38
399,094;66,48
399,351;66,6
399,609;66,7
399,867;66,79
400,124;66,86
400,382;66,98
400,64;67,12
400,897;67,25
401,155;67,37
401,413;67,52
401,67;67,63
401,928;67,77
402,185;67,87
402,443;67,99
402,701;68,05
402,958;68,18
403,216;68,27
403,473;68,39
403,73;68,46
403,988;68,58
404,245;68,68
404,503;68,81
404,76;68,91
405,018;69,04
405,275;69,15
405,532;69,26
405,79;69,37
406,047;69,48
406,304;69,59
406,561;69,73
406,819;69,79
407,076;69,92
407,333;70,02
407,59;70,11
407,848;70,21
408,105;70,34
408,362;70,41
408,619;70,53
408,876;70,62
409,133;70,73
409,39;70,83
409,647;70,91
409,904;70,98
410,161;71,09
410,418;71,16
410,675;71,28
410,932;71,39
411,189;71,47
411,446;71,59
411,703;71,67
411,96;71,74
412,217;71,86
412,474;71,94
412,731;72,04
412,988;72,15
413,245;72,29
413,501;72,38
413,758;72,49
414,015;72,56
414,272;72,63
414,529;72,72
414,785;72,83
415,042;72,95
415,299;73,02
415,555;73,12
415,812;73,21
416,069;73,27
416,325;73,39
416,582;73,47
416,838;73,56
417,095;73,65
417,352;73,74
417,608;73,83
417,865;73,91
418,121;73,99
418,378;74,08
418,634;74,14
418,891;74,27
419,147;74,37
419,403;74,47
419,66;74,56
419,916;74,67
420,173;74,72
420,429;74,79
420,685;74,88
420,942;74,96
421,198;75,05
421,454;75,17
421,711;75,21
421,967;75,3
422,223;75,35
422,479;75,44
422,735;75,5
422,992;75,54
423,248;75,63
423,504;75,72
423,76;75,76
424,016;75,82
424,272;75,85
424,528;75,88
424,784;75,95
425,041;76,07
425,297;76,13
425,553;76,21
425,809;76,28
426,065;76,34
426,32;76,42
426,576;76,47
426,832;76,51
427,088;76,6
427,344;76,65
427,6;76,71
427,856;76,74
428,112;76,85
428,368;76,91
428,623;76,96
428,879;76,99
429,135;77,05
429,391;77,12
429,646;77,19
429,902;77,23
430,158;77,29
430,414;77,36
430,669;77,39
430,925;77,47
431,181;77,54
431,436;77,62
431,692;77,66
431,947;77,72
432,203;77,78
432,458;77,81
432,714;77,88
432,97;77,93
433,225;78,02
433,481;78,04
433,736;78,12
433,991;78,18
434,247;78,25
434,502;78,31
434,758;78,37
435,013;78,47
435,268;78,55
435,524;78,59
435,779;78,59
