Data from azuriteWhite_Reflection__4__09.txt Node;
"Date: Thu Sep 11 15:29:32 CEST 2025 User: sycur";
448,015;25,8
448,269;25,82
448,524;25,86
448,778;25,89
449,033;25,89
449,287;25,9
449,541;25,92
449,796;25,92
450,05;25,97
450,305;26
450,559;26,01
450,813;26,06
451,067;26,05
451,322;26,09
451,576;26,11
451,83;26,12
452,084;26,13
452,339;26,15
452,593;26,2
452,847;26,24
453,101;26,26
453,355;26,27
453,609;26,3
453,864;26,29
454,118;26,31
454,372;26,33
454,626;26,37
454,88;26,39
455,134;26,43
455,388;26,45
455,642;26,48
455,896;26,53
456,15;26,56
456,404;26,6
456,658;26,63
456,912;26,65
457,165;26,7
457,419;26,74
457,673;26,76
457,927;26,78
458,181;26,81
458,435;26,82
458,688;26,88
458,942;26,89
459,196;26,92
459,45;26,93
459,703;26,97
459,957;26,98
460,211;27,01
460,464;27
460,718;27,03
460,972;27,04
461,225;27,07
461,479;27,09
461,732;27,11
461,986;27,12
462,239;27,15
462,493;27,18
462,746;27,2
463;27,25
463,253;27,32
463,507;27,32
463,76;27,36
464,014;27,36
464,267;27,42
464,52;27,46
464,774;27,5
465,027;27,5
465,28;27,52
465,534;27,54
465,787;27,57
466,04;27,56
466,294;27,57
466,547;27,55
466,8;27,55
467,053;27,55
467,306;27,57
467,56;27,55
467,813;27,55
468,066;27,55
468,319;27,54
468,572;27,49
468,825;27,49
469,078;27,47
469,331;27,5
469,584;27,49
469,837;27,5
470,09;27,5
470,343;27,54
470,596;27,56
470,849;27,58
471,102;27,6
471,355;27,64
471,608;27,65
471,861;27,7
472,114;27,72
472,367;27,76
472,619;27,77
472,872;27,82
473,125;27,82
473,378;27,85
473,631;27,85
473,883;27,9
474,136;27,92
474,389;27,94
474,641;27,94
474,894;27,95
475,147;27,95
475,399;27,96
475,652;27,99
475,905;28
476,157;28
476,41;28,02
476,662;28,02
476,915;28,04
477,167;28,03
477,42;28,05
477,672;28,04
477,925;28,04
478,177;28,02
478,43;28,01
478,682;27,99
478,934;28,01
479,187;28
479,439;27,99
479,691;27,99
479,944;28
480,196;27,99
480,448;27,97
480,701;27,97
480,953;27,95
481,205;27,93
481,457;27,92
481,709;27,9
490,022;26,97
490,274;26,9
490,525;26,84
490,777;26,78
491,028;26,71
491,28;26,64
491,531;26,59
491,783;26,51
492,034;26,47
492,286;26,4
492,537;26,36
492,789;26,3
493,04;26,25
493,291;26,2
493,543;26,16
493,794;26,1
494,045;26,06
494,297;26,01
494,548;25,96
494,799;25,92
495,051;25,87
495,302;25,83
495,553;25,78
495,804;25,71
496,056;25,66
496,307;25,62
496,558;25,56
496,809;25,49
497,06;25,45
497,311;25,38
497,562;25,33
497,813;25,27
498,064;25,22
498,316;25,17
498,567;25,11
498,818;25,04
499,069;24,99
499,319;24,91
499,57;24,84
499,821;24,78
500,072;24,71
500,323;24,65
500,574;24,6
500,825;24,53
501,076;24,48
501,327;24,42
501,577;24,36
501,828;24,3
502,079;24,25
502,33;24,18
502,58;24,11
502,831;24,04
503,082;23,98
503,333;23,9
503,583;23,83
503,834;23,76
504,084;23,69
504,335;23,61
504,586;23,55
504,836;23,48
505,087;23,41
505,337;23,34
505,588;23,26
505,838;23,19
506,089;23,13
506,339;23,05
506,59;22,97
506,84;22,89
507,091;22,83
507,341;22,74
507,591;22,67
507,842;22,6
508,092;22,53
508,343;22,44
508,593;22,38
508,843;22,31
509,093;22,24
509,344;22,16
509,594;22,09
509,844;22,01
510,094;21,94
510,345;21,86
510,595;21,8
510,845;21,72
511,095;21,64
511,345;21,56
511,595;21,47
511,845;21,39
512,095;21,32
512,345;21,24
512,595;21,17
512,845;21,1
513,095;21,04
513,345;20,96
513,595;20,89
513,845;20,8
514,095;20,73
514,345;20,65
514,595;20,59
514,845;20,51
515,095;20,44
515,345;20,36
515,594;20,3
515,844;20,22
516,094;20,15
516,344;20,07
516,593;20
516,843;19,93
517,093;19,86
517,343;19,79
517,592;19,73
517,842;19,66
518,092;19,59
518,341;19,52
518,591;19,44
518,84;19,38
519,09;19,32
519,34;19,24
519,589;19,18
519,839;19,1
520,088;19,04
520,338;18,97
520,587;18,9
520,836;18,82
521,086;18,75
521,335;18,68
521,585;18,61
521,834;18,55
522,083;18,49
522,333;18,42
522,582;18,35
522,831;18,28
523,081;18,21
523,33;18,14
523,579;18,08
523,828;18,02
524,078;17,95
524,327;17,89
524,576;17,83
524,825;17,77
525,074;17,71
525,323;17,63
525,573;17,58
525,822;17,51
526,071;17,46
526,32;17,41
526,569;17,36
526,818;17,3
527,067;17,24
527,316;17,17
527,565;17,11
527,814;17,06
528,063;17
528,312;16,94
528,56;16,89
528,809;16,81
529,058;16,75
529,307;16,68
529,556;16,62
529,805;16,55
530,053;16,49
530,302;16,42
530,551;16,38
530,8;16,31
531,048;16,26
531,297;16,19
531,546;16,15
531,794;16,08
532,043;16,02
532,292;15,97
532,54;15,92
532,789;15,86
533,037;15,81
533,286;15,74
533,535;15,69
533,783;15,63
534,032;15,59
534,28;15,54
534,528;15,5
534,777;15,45
535,025;15,41
535,274;15,36
535,522;15,3
535,771;15,24
536,019;15,2
536,267;15,14
536,516;15,11
536,764;15,05
537,012;15
537,26;14,96
537,509;14,91
537,757;14,85
538,005;14,81
538,253;14,76
538,501;14,71
538,75;14,67
538,998;14,63
539,246;14,57
539,494;14,52
539,742;14,46
539,99;14,41
540,238;14,35
540,486;14,3
540,734;14,26
540,982;14,22
541,23;14,17
541,478;14,13
541,726;14,08
541,974;14,03
542,222;13,98
542,47;13,92
542,718;13,88
542,966;13,83
543,213;13,78
543,461;13,73
543,709;13,68
543,957;13,62
544,205;13,57
544,452;13,53
544,7;13,49
544,948;13,45
545,196;13,4
545,443;13,37
545,691;13,32
545,939;13,27
546,186;13,23
546,434;13,19
546,681;13,15
546,929;13,12
547,176;13,07
547,424;13,04
547,671;12,99
547,919;12,95
548,166;12,9
548,414;12,87
548,661;12,83
548,909;12,81
549,156;12,78
549,404;12,74
549,651;12,71
549,898;12,67
550,146;12,63
550,393;12,6
550,64;12,56
550,888;12,53
551,135;12,49
551,382;12,45
551,629;12,41
551,876;12,38
552,124;12,33
552,371;12,3
552,618;12,25
552,865;12,22
553,112;12,2
553,359;12,17
553,606;12,13
553,854;12,09
554,101;12,06
554,348;12,02
554,595;11,99
554,842;11,95
555,089;11,91
555,336;11,88
555,582;11,85
555,829;11,82
556,076;11,78
556,323;11,75
556,57;11,71
556,817;11,68
557,064;11,63
557,311;11,59
557,557;11,56
557,804;11,54
558,051;11,5
558,298;11,47
558,544;11,43
558,791;11,4
559,038;11,37
559,284;11,34
559,531;11,29
559,778;11,26
560,024;11,22
560,271;11,18
560,517;11,14
560,764;11,1
561,011;11,07
561,257;11,04
561,504;11
561,75;10,97
561,997;10,94
562,243;10,93
562,489;10,9
562,736;10,87
562,982;10,83
563,229;10,8
563,475;10,77
563,721;10,74
563,968;10,7
564,214;10,67
564,46;10,64
564,707;10,62
564,953;10,59
565,199;10,57
565,445;10,56
565,691;10,54
565,938;10,51
566,184;10,49
566,43;10,47
566,676;10,46
566,922;10,45
567,168;10,43
567,414;10,41
567,66;10,41
567,906;10,39
568,152;10,37
568,398;10,37
568,644;10,37
568,89;10,36
569,136;10,36
569,382;10,35
569,628;10,34
569,874;10,33
570,12;10,33
570,366;10,32
570,612;10,31
570,857;10,29
571,103;10,29
571,349;10,29
571,595;10,28
571,84;10,26
572,086;10,26
572,332;10,25
572,578;10,24
572,823;10,22
573,069;10,21
573,315;10,2
573,56;10,19
573,806;10,16
574,051;10,15
574,297;10,13
574,542;10,11
574,788;10,09
575,034;10,08
575,279;10,07
575,524;10,06
575,77;10,04
576,015;10,03
576,261;10,03
576,506;10,01
576,752;9,99
576,997;9,97
577,242;9,95
577,488;9,93
577,733;9,9
577,978;9,88
578,223;9,87
578,469;9,86
578,714;9,84
578,959;9,84
579,204;9,82
579,45;9,81
579,695;9,8
579,94;9,79
580,185;9,77
580,43;9,75
580,675;9,73
580,92;9,71
581,165;9,68
581,41;9,65
581,655;9,62
581,9;9,6
582,145;9,57
582,39;9,55
582,635;9,53
582,88;9,52
583,125;9,49
583,37;9,47
583,615;9,43
583,86;9,4
584,105;9,37
584,349;9,34
584,594;9,29
584,839;9,26
585,084;9,23
585,328;9,2
585,573;9,17
585,818;9,14
586,063;9,11
586,307;9,09
586,552;9,06
586,797;9,04
587,041;9,01
587,286;8,99
587,53;8,96
587,775;8,93
588,019;8,9
588,264;8,88
588,508;8,85
588,753;8,82
588,997;8,79
589,242;8,76
589,486;8,73
589,731;8,71
589,975;8,68
590,22;8,65
590,464;8,62
590,708;8,61
590,953;8,58
591,197;8,57
591,441;8,54
591,685;8,52
591,93;8,51
592,174;8,5
592,418;8,47
592,662;8,46
592,907;8,45
593,151;8,44
593,395;8,42
593,639;8,41
593,883;8,4
594,127;8,38
594,371;8,36
594,615;8,36
594,859;8,33
595,103;8,32
595,347;8,3
595,591;8,27
595,835;8,24
596,079;8,21
596,323;8,19
596,567;8,17
596,811;8,15
597,055;8,13
597,299;8,11
597,542;8,1
597,786;8,08
598,03;8,07
598,274;8,05
598,518;8,04
598,761;8,02
599,005;8
599,249;7,99
599,492;7,98
599,736;7,96
599,98;7,95
600,223;7,92
600,467;7,92
600,711;7,92
600,954;7,9
601,198;7,89
601,441;7,87
601,685;7,86
601,928;7,85
602,172;7,83
602,415;7,81
602,659;7,79
602,902;7,77
603,145;7,74
603,389;7,73
603,632;7,7
603,876;7,69
604,119;7,67
604,362;7,65
604,606;7,63
604,849;7,62
605,092;7,61
605,335;7,59
605,579;7,57
605,822;7,55
606,065;7,53
606,308;7,53
606,551;7,51
606,794;7,49
607,037;7,47
607,281;7,46
607,524;7,44
607,767;7,43
608,01;7,41
608,253;7,41
608,496;7,39
608,739;7,38
608,982;7,37
609,225;7,36
609,468;7,34
609,711;7,33
609,953;7,31
610,196;7,29
610,439;7,28
610,682;7,27
610,925;7,25
611,168;7,25
611,41;7,23
611,653;7,22
611,896;7,2
612,139;7,19
612,381;7,17
612,624;7,17
612,867;7,15
613,109;7,14
613,352;7,12
613,595;7,11
613,837;7,09
614,08;7,08
614,322;7,07
614,565;7,07
614,807;7,05
615,05;7,05
615,292;7,04
615,535;7,03
615,777;7,01
616,02;7,01
616,262;7
616,505;6,99
616,747;6,97
616,989;6,97
617,232;6,96
617,474;6,96
617,716;6,94
617,959;6,95
618,201;6,93
618,443;6,92
618,685;6,91
618,927;6,9
619,17;6,88
619,412;6,88
619,654;6,87
619,896;6,87
620,138;6,86
620,38;6,86
620,622;6,86
620,864;6,86
621,107;6,85
621,349;6,85
621,591;6,86
621,833;6,85
622,075;6,85
622,316;6,85
622,558;6,84
622,8;6,84
623,042;6,83
623,284;6,83
623,526;6,83
623,768;6,84
624,01;6,83
624,251;6,84
624,493;6,82
624,735;6,82
624,977;6,81
625,218;6,81
625,46;6,79
625,702;6,78
625,943;6,77
626,185;6,76
626,427;6,74
626,668;6,73
626,91;6,72
627,152;6,72
627,393;6,7
627,635;6,69
627,876;6,68
628,118;6,67
628,359;6,66
628,601;6,65
628,842;6,62
629,084;6,62
629,325;6,61
629,566;6,6
629,808;6,58
630,049;6,57
630,29;6,55
630,532;6,55
630,773;6,53
631,014;6,52
631,256;6,51
631,497;6,5
631,738;6,49
631,979;6,49
632,22;6,47
632,462;6,46
632,703;6,45
632,944;6,45
633,185;6,44
633,426;6,43
633,667;6,42
633,908;6,42
634,149;6,41
634,39;6,4
634,631;6,39
634,872;6,39
635,113;6,38
635,354;6,39
635,595;6,37
635,836;6,38
636,077;6,36
636,318;6,36
636,559;6,35
636,8;6,35
637,04;6,33
637,281;6,33
637,522;6,33
637,763;6,33
638,003;6,31
638,244;6,31
638,485;6,3
638,726;6,3
638,966;6,29
639,207;6,3
639,448;6,29
639,688;6,29
