Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
334,131;1,08
334,393;1,08
334,655;1,08
334,917;1,07
335,179;1,07
335,44;1,06
335,702;1,06
335,964;1,06
336,226;1,07
336,488;1,06
336,749;1,07
337,011;1,07
337,273;1,08
337,535;1,07
337,796;1,06
338,058;1,06
338,32;1,07
338,581;1,06
338,843;1,06
339,105;1,07
339,366;1,08
339,628;1,09
339,889;1,09
340,151;1,09
340,412;1,1
340,674;1,1
340,935;1,1
341,197;1,11
341,458;1,11
341,72;1,1
341,981;1,11
342,243;1,11
342,504;1,11
342,766;1,11
343,027;1,11
343,288;1,11
343,55;1,11
343,811;1,11
344,072;1,12
344,334;1,11
344,595;1,1
344,856;1,09
345,117;1,08
345,379;1,1
345,64;1,1
345,901;1,11
346,162;1,11
346,423;1,1
346,684;1,1
346,946;1,11
347,207;1,11
347,468;1,1
347,729;1,1
347,99;1,1
348,251;1,1
348,512;1,12
348,773;1,13
349,034;1,13
349,295;1,13
349,556;1,12
349,817;1,13
350,078;1,14
350,339;1,16
350,6;1,18
350,86;1,16
351,121;1,16
351,382;1,14
351,643;1,14
351,904;1,14
352,165;1,16
352,425;1,15
352,686;1,16
352,947;1,15
353,208;1,15
353,468;1,16
353,729;1,15
353,99;1,15
354,25;1,15
354,511;1,13
354,772;1,13
355,032;1,16
355,293;1,14
355,553;1,13
355,814;1,12
356,074;1,11
356,335;1,11
356,596;1,11
356,856;1,13
357,116;1,15
357,377;1,15
357,637;1,13
357,898;1,15
358,158;1,13
358,419;1,14
358,679;1,14
358,939;1,14
359,2;1,15
359,46;1,17
359,72;1,16
359,981;1,18
360,241;1,17
360,501;1,15
360,761;1,16
361,022;1,17
361,282;1,17
361,542;1,18
361,802;1,18
362,062;1,17
362,323;1,17
362,583;1,17
362,843;1,17
363,103;1,18
363,363;1,19
363,623;1,2
363,883;1,21
364,143;1,21
364,403;1,2
364,663;1,2
364,923;1,19
365,183;1,18
365,443;1,2
365,703;1,22
365,963;1,23
366,223;1,24
366,483;1,24
366,743;1,24
367,002;1,24
367,262;1,24
367,522;1,26
367,782;1,26
368,042;1,26
368,301;1,26
368,561;1,25
368,821;1,25
369,081;1,25
369,34;1,25
369,6;1,25
369,86;1,26
370,119;1,27
370,379;1,28
370,638;1,29
370,898;1,26
371,158;1,27
371,417;1,27
371,677;1,29
371,936;1,29
372,196;1,32
372,455;1,33
372,715;1,34
372,974;1,34
373,234;1,36
373,493;1,39
373,753;1,39
374,012;1,41
374,271;1,4
374,531;1,42
374,79;1,42
375,049;1,42
375,309;1,43
375,568;1,45
375,827;1,45
376,086;1,46
376,346;1,48
376,605;1,49
376,864;1,51
377,123;1,51
377,383;1,51
377,642;1,5
377,901;1,5
378,16;1,5
378,419;1,51
378,678;1,5
378,937;1,49
379,196;1,47
379,455;1,48
379,714;1,49
379,973;1,49
380,232;1,5
380,491;1,51
380,75;1,52
381,009;1,52
381,268;1,52
381,527;1,53
381,786;1,54
382,045;1,52
382,304;1,52
382,563;1,53
382,821;1,52
383,08;1,54
383,339;1,55
383,598;1,54
383,857;1,55
384,115;1,57
384,374;1,57
384,633;1,6
384,891;1,59
385,15;1,6
385,409;1,62
385,667;1,62
385,926;1,62
386,185;1,63
386,443;1,62
386,702;1,64
386,96;1,64
387,219;1,64
387,477;1,66
387,736;1,67
387,994;1,68
388,253;1,69
388,511;1,7
388,77;1,69
389,028;1,71
389,287;1,73
389,545;1,72
389,803;1,72
390,062;1,73
390,32;1,74
390,578;1,73
390,837;1,74
