Data from CoccinigliaWhite_Reflection__2__48.txt Node;
"Date: Fri Sep 12 11:38:17 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
497,311;3,26
497,562;3,26
497,813;3,26
498,064;3,27
498,316;3,26
498,567;3,26
498,818;3,26
499,069;3,26
499,319;3,26
499,57;3,26
499,821;3,25
500,072;3,25
500,323;3,25
500,574;3,27
500,825;3,26
501,076;3,26
501,327;3,26
501,577;3,26
501,828;3,26
502,079;3,25
502,33;3,24
502,58;3,25
502,831;3,25
503,082;3,25
503,333;3,25
503,583;3,25
503,834;3,24
504,084;3,25
504,335;3,26
504,586;3,26
504,836;3,25
505,087;3,24
505,337;3,23
505,588;3,23
505,838;3,22
506,089;3,22
506,339;3,23
506,59;3,23
506,84;3,22
507,091;3,23
507,341;3,22
507,591;3,23
507,842;3,21
508,092;3,21
508,343;3,2
508,593;3,2
508,843;3,2
509,093;3,21
509,344;3,2
509,594;3,2
509,844;3,2
510,094;3,21
510,345;3,23
510,595;3,24
510,845;3,24
511,095;3,23
511,345;3,23
511,595;3,24
511,845;3,24
512,095;3,25
512,345;3,25
512,595;3,24
512,845;3,24
513,095;3,27
513,345;3,27
513,595;3,26
513,845;3,26
514,095;3,25
514,345;3,24
514,595;3,24
514,845;3,23
515,095;3,23
515,345;3,22
515,594;3,22
515,844;3,22
516,094;3,22
516,344;3,21
516,593;3,2
516,843;3,18
517,093;3,18
517,343;3,18
517,592;3,17
517,842;3,18
518,092;3,17
518,341;3,15
518,591;3,15
518,84;3,15
519,09;3,16
519,34;3,16
519,589;3,17
519,839;3,16
520,088;3,16
520,338;3,17
520,587;3,18
520,836;3,17
521,086;3,17
521,335;3,16
521,585;3,17
521,834;3,18
522,083;3,19
522,333;3,19
522,582;3,19
522,831;3,19
523,081;3,18
523,33;3,19
523,579;3,19
523,828;3,21
524,078;3,22
524,327;3,22
524,576;3,22
524,825;3,22
525,074;3,22
525,323;3,21
525,573;3,21
525,822;3,2
526,071;3,21
526,32;3,22
526,569;3,22
526,818;3,23
527,067;3,22
527,316;3,22
527,565;3,22
527,814;3,22
528,063;3,23
528,312;3,24
528,56;3,24
528,809;3,23
529,058;3,23
529,307;3,22
529,556;3,23
529,805;3,24
530,053;3,24
530,302;3,24
530,551;3,26
530,8;3,26
531,048;3,28
531,297;3,28
531,546;3,27
531,794;3,28
532,043;3,28
532,292;3,29
532,54;3,3
532,789;3,3
533,037;3,31
533,286;3,3
533,535;3,31
533,783;3,31
534,032;3,32
534,28;3,31
534,528;3,32
534,777;3,32
535,025;3,32
535,274;3,32
535,522;3,32
535,771;3,33
536,019;3,33
536,267;3,32
536,516;3,32
536,764;3,32
537,012;3,32
537,26;3,33
537,509;3,34
537,757;3,33
538,005;3,34
538,253;3,35
538,501;3,35
538,75;3,35
538,998;3,35
539,246;3,35
539,494;3,36
539,742;3,36
