Data from CoccinigliaWhite_Reflection__3__49.txt Node;
"Date: Fri Sep 12 11:39:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
368,042;2,65
368,301;2,66
368,561;2,65
368,821;2,66
369,081;2,65
369,34;2,64
369,6;2,63
369,86;2,63
370,119;2,63
370,379;2,63
370,638;2,64
370,898;2,62
371,158;2,62
371,417;2,62
371,677;2,62
371,936;2,61
372,196;2,62
372,455;2,61
372,715;2,61
372,974;2,61
373,234;2,62
373,493;2,63
373,753;2,63
374,012;2,64
374,271;2,65
374,531;2,66
374,79;2,69
375,049;2,68
375,309;2,67
375,568;2,68
375,827;2,67
376,086;2,67
376,346;2,68
376,605;2,69
376,864;2,69
377,123;2,69
377,383;2,7
377,642;2,69
377,901;2,69
378,16;2,68
378,419;2,67
378,678;2,67
378,937;2,65
379,196;2,64
379,455;2,63
379,714;2,63
379,973;2,6
380,232;2,61
380,491;2,61
380,75;2,63
381,009;2,63
381,268;2,62
381,527;2,61
381,786;2,61
382,045;2,59
382,304;2,59
382,563;2,58
382,821;2,57
383,08;2,57
383,339;2,56
383,598;2,57
383,857;2,57
384,115;2,57
384,374;2,59
384,633;2,6
384,891;2,6
385,15;2,6
385,409;2,63
385,667;2,61
385,926;2,61
386,185;2,6
386,443;2,6
386,702;2,6
386,96;2,6
387,219;2,6
387,477;2,62
387,736;2,61
387,994;2,6
388,253;2,62
388,511;2,63
388,77;2,63
389,028;2,64
389,287;2,65
389,545;2,65
389,803;2,62
390,062;2,63
390,32;2,63
390,578;2,63
390,837;2,63
391,095;2,63
391,353;2,64
391,612;2,65
391,87;2,63
392,128;2,63
392,386;2,64
392,644;2,64
392,903;2,64
393,161;2,62
393,419;2,63
393,677;2,63
393,935;2,61
394,193;2,62
394,451;2,62
394,709;2,61
394,967;2,62
395,225;2,62
395,483;2,61
395,741;2,62
395,999;2,62
396,257;2,61
396,515;2,59
396,773;2,59
397,031;2,58
397,289;2,61
397,547;2,6
397,805;2,58
398,062;2,59
398,32;2,59
398,578;2,59
398,836;2,6
399,094;2,6
399,351;2,61
399,609;2,59
399,867;2,58
400,124;2,58
400,382;2,58
400,64;2,6
400,897;2,61
401,155;2,61
401,413;2,63
401,67;2,62
401,928;2,65
402,185;2,65
402,443;2,66
402,701;2,63
402,958;2,63
403,216;2,64
403,473;2,63
403,73;2,65
403,988;2,65
404,245;2,65
404,503;2,66
404,76;2,66
405,018;2,68
405,275;2,68
405,532;2,69
405,79;2,67
406,047;2,66
406,304;2,66
406,561;2,66
406,819;2,65
407,076;2,67
407,333;2,65
407,59;2,63
407,848;2,65
408,105;2,67
408,362;2,68
408,619;2,68
408,876;2,67
409,133;2,66
409,39;2,65
409,647;2,63
409,904;2,62
410,161;2,62
410,418;2,62
410,675;2,63
410,932;2,63
411,189;2,63
411,446;2,63
411,703;2,62
411,96;2,62
412,217;2,62
412,474;2,61
412,731;2,62
412,988;2,63
413,245;2,62
413,501;2,59
413,758;2,58
414,015;2,57
414,272;2,58
414,529;2,58
414,785;2,59
415,042;2,62
415,299;2,6
415,555;2,59
415,812;2,58
416,069;2,57
416,325;2,57
416,582;2,59
416,838;2,58
417,095;2,55
417,352;2,52
417,608;2,52
417,865;2,53
418,121;2,53
418,378;2,52
418,634;2,52
418,891;2,55
419,147;2,55
419,403;2,55
419,66;2,54
419,916;2,54
420,173;2,54
420,429;2,52
420,685;2,54
420,942;2,55
421,198;2,55
421,454;2,54
421,711;2,55
421,967;2,53
422,223;2,52
422,479;2,54
422,735;2,54
422,992;2,53
423,248;2,52
423,504;2,5
423,76;2,51
424,016;2,5
424,272;2,52
424,528;2,53
424,784;2,56
425,041;2,56
425,297;2,54
425,553;2,54
425,809;2,53
426,065;2,53
426,32;2,53
426,576;2,52
426,832;2,54
427,088;2,51
427,344;2,51
427,6;2,53
427,856;2,53
428,112;2,55
428,368;2,55
428,623;2,55
428,879;2,56
429,135;2,55
429,391;2,54
429,646;2,53
429,902;2,51
430,158;2,5
