Data from CoccinigliaWhite_Reflection__0__46.txt Node;
"Date: Fri Sep 12 11:36:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
328,627;5,46
328,889;5,45
329,151;5,44
329,414;5,42
329,676;5,4
329,938;5,39
330,2;5,39
330,462;5,39
330,725;5,39
330,987;5,38
331,249;5,37
331,511;5,37
331,773;5,37
332,035;5,36
332,297;5,35
332,559;5,34
332,821;5,33
333,083;5,33
333,345;5,32
333,607;5,31
333,869;5,3
334,131;5,27
334,393;5,28
334,655;5,26
334,917;5,27
335,179;5,27
335,44;5,27
335,702;5,26
335,964;5,26
336,226;5,23
336,488;5,23
336,749;5,23
337,011;5,22
337,273;5,21
337,535;5,21
337,796;5,19
338,058;5,19
338,32;5,2
338,581;5,2
338,843;5,19
339,105;5,2
339,366;5,2
339,628;5,22
339,889;5,21
340,151;5,21
340,412;5,21
340,674;5,22
340,935;5,21
341,197;5,22
341,458;5,2
341,72;5,22
341,981;5,21
342,243;5,2
342,504;5,2
342,766;5,2
343,027;5,2
343,288;5,2
343,55;5,2
343,811;5,18
344,072;5,19
344,334;5,18
344,595;5,17
344,856;5,16
345,117;5,14
345,379;5,14
345,64;5,13
345,901;5,13
346,162;5,1
346,423;5,09
346,684;5,06
346,946;5,05
347,207;5,04
347,468;5,04
347,729;5,02
347,99;5,01
348,251;5
348,512;5
348,773;5
349,034;4,99
349,295;4,98
349,556;4,95
349,817;4,96
350,078;4,96
350,339;4,97
350,6;4,96
350,86;4,96
351,121;4,96
351,382;4,94
351,643;4,94
351,904;4,94
352,165;4,98
352,425;4,98
352,686;4,97
352,947;4,98
353,208;4,99
353,468;5
353,729;5
353,99;4,99
354,25;5
354,511;4,99
354,772;5,01
355,032;5,02
355,293;5,01
355,553;5
355,814;4,99
356,074;4,98
356,335;4,96
356,596;4,96
356,856;4,97
357,116;4,98
357,377;4,98
357,637;4,96
357,898;4,97
358,158;4,96
358,419;4,95
358,679;4,95
358,939;4,96
359,2;4,96
359,46;4,97
359,72;4,95
359,981;4,96
360,241;4,93
360,501;4,92
360,761;4,92
361,022;4,92
361,282;4,92
361,542;4,92
361,802;4,92
362,062;4,9
362,323;4,91
362,583;4,92
362,843;4,91
363,103;4,91
363,363;4,9
363,623;4,89
363,883;4,88
364,143;4,88
364,403;4,86
364,663;4,86
364,923;4,85
365,183;4,85
365,443;4,84
365,703;4,86
365,963;4,86
366,223;4,85
