Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
124;801,72;12473,2;269,14;3723,5;65535;5382,1;1658,6;0;0;0;
125;801,87;12470,86;271,48;3673,8;65535;5495,8;1822;0;0;0;
126;802,02;12468,52;273,82;3520,9;65535;5472,5;1951,6;0;0;0;
127;802,17;12466,18;276,16;3692,8;65535;5772,5;2079,7;0;0;0;
128;802,32;12463,84;278,5;3596;65535;5725,8;2129,8;0;0;0;
129;802,47;12461,51;280,84;3691,1;65535;5738,1;2047;0;0;0;
130;802,62;12459,17;283,17;4338,8;65535;6238,7;1899,9;0;0;0;
131;802,77;12456,84;285,51;3672,3;65535;5470,9;1798,6;0;0;0;
132;802,92;12454,5;287,84;3928,1;65535;5659,5;1731,4;0;0;0;
133;803,07;12452,17;290,17;3625,7;65535;5339,8;1714,1;0;0;0;
134;803,22;12449,84;292,51;4112,1;65535;5877,3;1765,2;0;0;0;
135;803,37;12447,51;294,84;3600,8;65535;5482,8;1882;0;0;0;
136;803,52;12445,18;297,17;3669,9;65535;5653;1983,1;0;0;0;
137;803,67;12442,85;299,5;3622,3;65535;5748,9;2126,6;0;0;0;
138;803,82;12440,52;301,82;3629,4;65535;5961,1;2331,7;0;0;0;
139;803,98;12438,19;304,15;3904,4;65535;6452,3;2547,9;0;0;0;
140;804,13;12435,87;306,48;3713,1;65535;6442,1;2729;0;0;0;
141;804,28;12433,54;308,8;3585,4;65535;6484,9;2899,5;0;0;0;
142;804,43;12431,22;311,12;3564;65535;6415,7;2851,7;0;0;0;
143;804,58;12428,9;313,45;3551,2;65535;6148,6;2597,4;0;0;0;
144;804,73;12426,58;315,77;3720,5;65535;6026,5;2306;0;0;0;
145;804,88;12424,25;318,09;3638,2;65535;5648,2;2010;0;0;0;
146;805,03;12421,93;320,41;3657,2;65535;5499,3;1842,1;0;0;0;
147;805,18;12419,62;322,73;3724,9;65535;5367,1;1642,2;0;0;0;
148;805,33;12417,3;325,05;3783,3;65535;5361,4;1578,1;0;0;0;
149;805,48;12414,98;327,36;3786,1;65535;5282,3;1496,2;0;0;0;
150;805,63;12412,67;329,68;3753,8;65535;5210,8;1457;0;0;0;
151;805,78;12410,35;331,99;3840,2;65535;5260,5;1420,3;0;0;0;
152;805,93;12408,04;334,31;3822,3;65535;5196,8;1374,5;0;0;0;
153;806,08;12405,72;336,62;3538,4;65535;4916,2;1377,8;0;0;0;
154;806,23;12403,41;338,93;3622;65535;5017,7;1395,7;0;0;0;
155;806,38;12401,1;341,24;3605;65535;4972,1;1367,1;0;0;0;
156;806,53;12398,79;343,55;3644,4;65535;5007,2;1362,8;0;0;0;
157;806,68;12396,48;345,86;3832,3;65535;5179,9;1347,6;0;0;0;
158;806,83;12394,18;348,17;3685,7;65535;5041,3;1355,6;0;0;0;
159;806,98;12391,87;350,47;3539,9;65535;4923,1;1383,2;0;0;0;
160;807,13;12389,56;352,78;3672,5;65535;5039,9;1367,4;0;0;0;
161;807,28;12387,26;355,09;3569,7;65535;4934,5;1364,8;0;0;0;
162;807,43;12384,95;357,39;3830,7;65535;5202,9;1372,2;0;0;0;
163;807,58;12382,65;359,69;3852,4;65535;5237,4;1385;0;0;0;
164;807,73;12380,35;361,99;3575,7;65535;4967,7;1392;0;0;0;
165;807,88;12378,05;364,29;3769,7;65535;5174,8;1405,1;0;0;0;
166;808,03;12375,75;366,59;3656,1;65535;5129;1472,9;0;0;0;
167;808,18;12373,45;368,89;3783,8;65535;5295,1;1511,3;0;0;0;
168;808,33;12371,15;371,19;3574,6;65535;5173;1598,4;0;0;0;
169;808,48;12368,86;373,49;3748,9;65535;5443,8;1694,9;0;0;0;
170;808,63;12366,56;375,78;3822,4;65535;5725,5;1903,1;0;0;0;
171;808,78;12364,26;378,08;3593,5;65535;5787,7;2194,2;0;0;0;
172;808,93;12361,97;380,37;3695,5;65535;6279;2583,5;0;0;0;
173;809,08;12359,68;382,67;3665,1;65535;6827,9;3162,8;0;0;0;
174;809,23;12357,39;384,96;3810;65535;7495,3;3685,3;0;0;0;
175;809,38;12355,09;387,25;3660,9;65535;7624,8;3963,9;0;0;0;
176;809,53;12352,8;389,54;3638;65535;7191,1;3553,1;0;0;0;
177;809,68;12350,51;391,83;3839,4;65535;6636;2796,6;0;0;0;
178;809,83;12348,23;394,12;3818,8;65535;6010,7;2191,9;0;0;0;
179;809,98;12345,94;396,4;3924;65535;5746,4;1822,4;0;0;0;
180;810,13;12343,65;398,69;3703,6;65535;5314,9;1611,3;0;0;0;
181;810,28;12341,37;400,98;3678,9;65535;5148,5;1469,6;0;0;0;
182;810,43;12339,08;403,26;3693,2;65535;5086,8;1393,6;0;0;0;
183;810,58;12336,8;405,54;3790,7;65535;5117,7;1327;0;0;0;
184;810,73;12334,52;407,83;6612,7;65535;7844,1;1231,4;0;0;0;
185;810,88;12332,24;410,11;3678,6;65535;4936,6;1258;0;0;0;
186;811,03;12329,96;412,39;3564;65535;4799,3;1235,3;0;0;0;
187;811,18;12327,68;414,67;3603,2;65535;4807,7;1204,5;0;0;0;
188;811,33;12325,4;416,94;3751,7;65535;4949,4;1197,7;0;0;0;
189;811,48;12323,12;419,22;3613;65535;4822,8;1209,8;0;0;0;
190;811,63;12320,85;421,5;3718,8;65535;4943,7;1224,9;0;0;0;
191;811,78;12318,57;423,77;3834,1;65535;5045,8;1211,7;0;0;0;
192;811,93;12316,3;426,05;3754,9;65535;4969,5;1214,6;0;0;0;
193;812,08;12314,02;428,32;3889,6;65535;5096,1;1206,5;0;0;0;
194;812,23;12311,75;430,59;3640,7;65535;4853,3;1212,6;0;0;0;
195;812,38;12309,48;432,87;3684,1;65535;4916,1;1232;0;0;0;
196;812,53;12307,21;435,14;3708,3;65535;4949,5;1241,2;0;0;0;
197;812,68;12304,94;437,41;3614,3;65535;4882,3;1268;0;0;0;
198;812,83;12302,67;439,67;3709,6;65535;5015,6;1306;0;0;0;
199;812,98;12300,4;441,94;3661,9;65535;4962,2;1300,3;0;0;0;
200;813,13;12298,13;444,21;3666,4;65535;5050,5;1384,1;0;0;0;
201;813,28;12295,87;446,47;3588,2;65535;5037,3;1449,1;0;0;0;
202;813,43;12293,6;448,74;3613,2;65535;5094,7;1481,5;0;0;0;
203;813,58;12291,34;451;4039,3;65535;5572;1532,7;0;0;0;
204;813,73;12289,08;453,27;3704;65535;5254,7;1550,7;0;0;0;
205;813,88;12286,82;455,53;3833,9;65535;5354,6;1520,7;0;0;0;
206;814,03;12284,55;457,79;3671,6;65535;5165,6;1494;0;0;0;
207;814,18;12282,29;460,05;3551,9;65535;5026;1474,1;0;0;0;
208;814,33;12280,04;462,31;3552,1;65535;5012,5;1460,4;0;0;0;
209;814,48;12277,78;464,57;3596,3;65535;5064,5;1468,2;0;0;0;
210;814,63;12275,52;466,82;3629,8;65535;5120,1;1490,3;0;0;0;
211;814,78;12273,26;469,08;3563,8;65535;5070,5;1506,7;0;0;0;
212;814,93;12271,01;471,33;3782;65535;5290,1;1508,1;0;0;0;
