User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
346,162;3,53
346,423;3,51
346,684;3,51
346,946;3,51
347,207;3,51
347,468;3,51
347,729;3,49
347,99;3,5
348,251;3,49
348,512;3,52
348,773;3,46
349,034;3,45
349,295;3,47
349,556;3,55
349,817;3,55
350,078;3,58
350,339;3,57
350,6;3,59
350,86;3,58
351,121;3,52
351,382;3,53
351,643;3,54
351,904;3,55
352,165;3,54
352,425;3,54
352,686;3,56
352,947;3,55
353,208;3,56
353,468;3,55
353,729;3,54
353,99;3,54
354,25;3,55
354,511;3,56
354,772;3,57
355,032;3,57
355,293;3,53
355,553;3,52
355,814;3,5
356,074;3,46
356,335;3,44
356,596;3,48
356,856;3,47
357,116;3,46
357,377;3,5
357,637;3,5
357,898;3,47
358,158;3,45
358,419;3,44
358,679;3,47
358,939;3,44
359,2;3,42
359,46;3,44
359,72;3,4
359,981;3,44
360,241;3,44
360,501;3,4
360,761;3,41
361,022;3,41
361,282;3,4
361,542;3,4
361,802;3,33
362,062;3,31
362,323;3,26
362,583;3,31
362,843;3,27
363,103;3,3
363,363;3,27
363,623;3,29
363,883;3,3
364,143;3,26
364,403;3,28
364,663;3,3
364,923;3,29
365,183;3,35
365,443;3,32
365,703;3,27
365,963;3,27
366,223;3,29
366,483;3,27
366,743;3,31
367,002;3,33
367,262;3,37
367,522;3,36
367,782;3,41
368,042;3,37
368,301;3,39
368,561;3,36
368,821;3,39
369,081;3,38
369,34;3,37
369,6;3,36
369,86;3,34
370,119;3,35
370,379;3,37
370,638;3,36
370,898;3,37
371,158;3,36
371,417;3,37
371,677;3,32
371,936;3,34
372,196;3,34
372,455;3,4
372,715;3,39
372,974;3,45
373,234;3,43
373,493;3,41
373,753;3,44
374,012;3,44
374,271;3,43
374,531;3,41
374,79;3,43
375,049;3,5
375,309;3,49
375,568;3,45
375,827;3,41
376,086;3,37
376,346;3,39
376,605;3,43
376,864;3,42
377,123;3,46
377,383;3,42
377,642;3,47
377,901;3,41
378,16;3,38
378,419;3,32
378,678;3,31
378,937;3,32
379,196;3,27
379,455;3,31
379,714;3,34
379,973;3,36
380,232;3,32
380,491;3,31
380,75;3,3
381,009;3,29
381,268;3,31
381,527;3,31
381,786;3,28
382,045;3,28
382,304;3,3
382,563;3,3
382,821;3,34
383,08;3,3
383,339;3,33
383,598;3,37
383,857;3,37
384,115;3,39
384,374;3,38
384,633;3,4
384,891;3,34
385,15;3,3
385,409;3,33
385,667;3,33
385,926;3,31
386,185;3,33
386,443;3,35
386,702;3,34
386,96;3,32
387,219;3,33
387,477;3,34
387,736;3,31
387,994;3,3
388,253;3,3
388,511;3,29
388,77;3,27
389,028;3,28
389,287;3,25
389,545;3,28
389,803;3,23
390,062;3,21
390,32;3,21
390,578;3,28
390,837;3,26
391,095;3,26
391,353;3,3
391,612;3,31
391,87;3,29
392,128;3,31
392,386;3,34
392,644;3,32
392,903;3,32
393,161;3,32
