User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
384,891;3,57
385,15;3,54
385,409;3,56
385,667;3,61
385,926;3,63
386,185;3,62
386,443;3,65
386,702;3,65
386,96;3,64
387,219;3,66
387,477;3,71
387,736;3,68
387,994;3,69
388,253;3,64
388,511;3,64
388,77;3,64
389,028;3,64
389,287;3,64
389,545;3,69
389,803;3,64
390,062;3,58
390,32;3,6
390,578;3,65
390,837;3,65
391,095;3,61
391,353;3,6
391,612;3,64
391,87;3,61
392,128;3,63
392,386;3,62
392,644;3,61
392,903;3,61
393,161;3,63
393,419;3,63
393,677;3,65
393,935;3,65
394,193;3,64
394,451;3,62
394,709;3,57
394,967;3,57
395,225;3,61
395,483;3,66
395,741;3,71
395,999;3,7
396,257;3,69
396,515;3,69
396,773;3,7
397,031;3,68
397,289;3,68
397,547;3,66
397,805;3,67
398,062;3,68
398,32;3,63
398,578;3,63
398,836;3,58
399,094;3,53
399,351;3,48
399,609;3,51
399,867;3,49
400,124;3,55
400,382;3,56
400,64;3,56
400,897;3,5
401,155;3,46
401,413;3,44
401,67;3,44
401,928;3,45
402,185;3,43
402,443;3,48
402,701;3,51
402,958;3,48
403,216;3,45
403,473;3,43
403,73;3,48
403,988;3,48
404,245;3,52
404,503;3,54
404,76;3,53
405,018;3,47
405,275;3,51
405,532;3,49
405,79;3,46
406,047;3,44
406,304;3,52
406,561;3,49
406,819;3,55
407,076;3,53
407,333;3,55
407,59;3,59
407,848;3,54
408,105;3,51
408,362;3,58
408,619;3,65
408,876;3,66
409,133;3,64
409,39;3,68
409,647;3,69
409,904;3,69
410,161;3,76
410,418;3,77
410,675;3,76
410,932;3,8
411,189;3,85
411,446;3,83
411,703;3,78
411,96;3,81
412,217;3,81
412,474;3,79
412,731;3,74
412,988;3,73
413,245;3,8
413,501;3,81
413,758;3,78
414,015;3,71
414,272;3,71
414,529;3,77
414,785;3,78
415,042;3,82
415,299;3,9
415,555;3,88
415,812;3,87
416,069;3,85
416,325;3,84
416,582;3,84
416,838;3,89
417,095;3,89
417,352;3,89
417,608;3,91
417,865;3,95
418,121;3,97
418,378;3,98
418,634;3,96
418,891;3,97
419,147;4,01
419,403;4,03
419,66;4,07
419,916;4,05
420,173;4,03
420,429;4
420,685;3,97
420,942;4
421,198;4,02
421,454;4,07
421,711;4,07
421,967;4,06
422,223;4,04
422,479;4,08
422,735;4,13
422,992;4,1
423,248;4,07
423,504;4,13
423,76;4,14
424,016;4,12
424,272;4,15
424,528;4,16
424,784;4,16
425,041;4,15
425,297;4,17
425,553;4,21
425,809;4,25
426,065;4,2
426,32;4,23
426,576;4,26
426,832;4,25
427,088;4,25
427,344;4,2
427,6;4,26
427,856;4,24
428,112;4,21
428,368;4,21
428,623;4,27
428,879;4,25
429,135;4,3
429,391;4,29
429,646;4,33
