User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
357,898;16,08
358,158;16,07
358,419;16,06
358,679;16,07
358,939;16,05
359,2;16,03
359,46;16,02
359,72;16
359,981;16,04
360,241;16,02
360,501;15,94
360,761;15,91
361,022;15,85
361,282;15,86
361,542;15,86
361,802;15,8
362,062;15,78
362,323;15,71
362,583;15,7
362,843;15,65
363,103;15,68
363,363;15,67
363,623;15,64
363,883;15,66
364,143;15,62
364,403;15,58
364,663;15,63
364,923;15,67
365,183;15,69
365,443;15,66
365,703;15,65
365,963;15,68
366,223;15,72
366,483;15,68
366,743;15,66
367,002;15,62
367,262;15,66
367,522;15,7
367,782;15,72
368,042;15,75
368,301;15,78
368,561;15,79
368,821;15,82
369,081;15,84
369,34;15,82
369,6;15,79
369,86;15,83
370,119;15,79
370,379;15,75
370,638;15,71
370,898;15,71
371,158;15,72
371,417;15,73
371,677;15,67
371,936;15,74
372,196;15,74
372,455;15,74
372,715;15,73
372,974;15,72
373,234;15,66
373,493;15,64
373,753;15,63
374,012;15,58
374,271;15,58
374,531;15,57
374,79;15,56
375,049;15,6
375,309;15,54
375,568;15,51
375,827;15,49
376,086;15,44
376,346;15,44
376,605;15,46
376,864;15,4
377,123;15,43
377,383;15,41
377,642;15,42
377,901;15,44
378,16;15,44
378,419;15,43
378,678;15,43
378,937;15,42
379,196;15,41
379,455;15,43
379,714;15,43
379,973;15,45
380,232;15,45
380,491;15,42
380,75;15,45
381,009;15,43
381,268;15,41
381,527;15,41
381,786;15,37
382,045;15,35
382,304;15,43
382,563;15,46
382,821;15,48
383,08;15,45
383,339;15,46
383,598;15,5
383,857;15,54
384,115;15,56
384,374;15,55
384,633;15,57
384,891;15,58
385,15;15,54
385,409;15,57
385,667;15,54
385,926;15,6
386,185;15,59
386,443;15,65
386,702;15,7
386,96;15,79
387,219;15,81
387,477;15,83
387,736;15,8
387,994;15,77
388,253;15,75
388,511;15,79
388,77;15,81
389,028;15,78
389,287;15,69
389,545;15,7
389,803;15,71
390,062;15,66
390,32;15,65
390,578;15,7
390,837;15,69
391,095;15,7
391,353;15,69
391,612;15,68
391,87;15,65
392,128;15,62
392,386;15,58
392,644;15,61
392,903;15,61
393,161;15,62
393,419;15,59
393,677;15,62
393,935;15,64
394,193;15,6
394,451;15,63
394,709;15,63
394,967;15,68
395,225;15,66
395,483;15,74
395,741;15,76
395,999;15,73
396,257;15,77
396,515;15,76
396,773;15,81
397,031;15,8
397,289;15,87
397,547;15,86
397,805;15,84
398,062;15,85
398,32;15,84
398,578;15,88
398,836;15,9
399,094;15,86
399,351;15,82
399,609;15,88
399,867;15,85
400,124;15,93
400,382;15,97
400,64;15,98
400,897;15,94
401,155;15,93
401,413;15,97
401,67;15,97
401,928;16,03
402,185;16
402,443;16,06
402,701;16,01
402,958;16,06
403,216;16,12
403,473;16,14
403,73;16,18
403,988;16,17
404,245;16,22
404,503;16,23
404,76;16,25
405,018;16,19
405,275;16,27
405,532;16,26
405,79;16,21
406,047;16,26
406,304;16,24
406,561;16,3
406,819;16,38
407,076;16,33
407,333;16,38
407,59;16,43
407,848;16,41
408,105;16,4
408,362;16,45
408,619;16,49
408,876;16,44
409,133;16,36
409,39;16,4
409,647;16,38
409,904;16,39
410,161;16,46
410,418;16,55
410,675;16,49
410,932;16,45
411,189;16,5
411,446;16,51
411,703;16,54
411,96;16,49
412,217;16,43
412,474;16,43
412,731;16,38
412,988;16,39
413,245;16,47
413,501;16,51
413,758;16,46
414,015;16,43
