Data from verderameWhite_Reflection__0__22.txt Node;
"Date: Thu Sep 11 16:20:41 CEST 2025 User: sycur";
326,791;5,89
327,053;5,92
327,315;5,94
327,578;6
327,84;6,03
328,102;6,07
328,365;6,11
328,627;6,14
328,889;6,19
329,151;6,24
329,414;6,29
329,676;6,34
329,938;6,36
330,2;6,41
330,462;6,46
330,725;6,5
330,987;6,55
331,249;6,59
331,511;6,63
331,773;6,67
332,035;6,71
332,297;6,76
332,559;6,83
332,821;6,88
333,083;6,92
333,345;6,99
333,607;7,05
333,869;7,1
334,131;7,16
334,393;7,21
334,655;7,26
334,917;7,33
335,179;7,37
335,44;7,43
335,702;7,49
335,964;7,55
336,226;7,61
336,488;7,66
336,749;7,74
337,011;7,81
337,273;7,88
337,535;7,95
337,796;8,01
338,058;8,07
338,32;8,14
338,581;8,21
338,843;8,27
339,105;8,34
339,366;8,42
339,628;8,51
339,889;8,58
340,151;8,65
340,412;8,71
340,674;8,81
340,935;8,88
341,197;8,97
341,458;9,04
341,72;9,13
341,981;9,21
342,243;9,28
342,504;9,35
342,766;9,44
343,027;9,5
343,288;9,58
343,55;9,66
343,811;9,74
344,072;9,82
344,334;9,9
344,595;9,98
344,856;10,07
345,117;10,13
345,379;10,22
345,64;10,32
345,901;10,4
346,162;10,48
346,423;10,57
346,684;10,65
346,946;10,73
347,207;10,81
347,468;10,9
347,729;10,97
347,99;11,07
348,251;11,16
348,512;11,26
348,773;11,35
349,034;11,43
349,295;11,53
349,556;11,62
349,817;11,7
350,078;11,78
350,339;11,88
350,6;12,01
350,86;12,09
351,121;12,19
351,382;12,3
351,643;12,4
351,904;12,5
352,165;12,62
352,425;12,74
352,686;12,86
352,947;12,98
353,208;13,12
353,468;13,21
353,729;13,33
353,99;13,45
354,25;13,58
354,511;13,73
354,772;13,85
355,032;13,96
355,293;14,12
355,553;14,24
355,814;14,35
356,074;14,47
356,335;14,61
356,596;14,74
356,856;14,88
357,116;15,04
357,377;15,19
357,637;15,32
357,898;15,47
358,158;15,6
358,419;15,74
358,679;15,89
358,939;16,04
359,2;16,19
359,46;16,36
359,72;16,51
359,981;16,65
360,241;16,81
360,501;16,98
360,761;17,13
361,022;17,29
361,282;17,47
361,542;17,65
361,802;17,82
362,062;17,98
362,323;18,15
362,583;18,31
362,843;18,47
363,103;18,66
363,363;18,82
363,623;19
363,883;19,16
364,143;19,36
364,403;19,53
364,663;19,73
364,923;19,89
365,183;20,08
365,443;20,24
365,703;20,4
365,963;20,57
366,223;20,75
366,483;20,94
366,743;21,12
367,002;21,29
367,262;21,49
367,522;21,68
367,782;21,86
368,042;22,03
368,301;22,2
368,561;22,38
368,821;22,56
369,081;22,72
369,34;22,91
369,6;23,08
369,86;23,28
370,119;23,45
370,379;23,63
370,638;23,81
370,898;24,01
371,158;24,22
371,417;24,42
371,677;24,62
371,936;24,85
372,196;25,05
372,455;25,26
372,715;25,44
372,974;25,65
373,234;25,86
373,493;26,09
373,753;26,32
374,012;26,52
374,271;26,74
374,531;26,98
374,79;27,18
375,049;27,41
375,309;27,64
375,568;27,86
375,827;28,1
376,086;28,32
376,346;28,56
376,605;28,79
376,864;29
377,123;29,25
377,383;29,46
377,642;29,68
377,901;29,91
378,16;30,15
378,419;30,34
378,678;30,56
378,937;30,78
379,196;31,01
379,455;31,26
379,714;31,49
379,973;31,69
380,232;31,94
380,491;32,16
380,75;32,4
381,009;32,63
381,268;32,85
381,527;33,09
381,786;33,31
382,045;33,55
382,304;33,8
382,563;34,01
382,821;34,25
383,08;34,48
383,339;34,7
383,598;34,93
383,857;35,19
384,115;35,42
384,374;35,65
384,633;35,88
384,891;36,12
385,15;36,36
385,409;36,63
385,667;36,86
385,926;37,1
386,185;37,33
386,443;37,55
386,702;37,79
386,96;38
387,219;38,23
387,477;38,46
387,736;38,69
387,994;38,94
388,253;39,15
388,511;39,4
388,77;39,61
389,028;39,85
389,287;40,11
389,545;40,38
389,803;40,65
390,062;40,91
390,32;41,15
390,578;41,39
390,837;41,62
391,095;41,88
391,353;42,13
391,612;42,34
391,87;42,58
392,128;42,82
392,386;43,06
392,644;43,33
392,903;43,56
393,161;43,78
393,419;44,01
393,677;44,26
393,935;44,49
394,193;44,75
394,451;45
394,709;45,2
394,967;45,43
395,225;45,65
395,483;45,88
395,741;46,11
395,999;46,36
396,257;46,6
396,515;46,82
396,773;47,02
397,031;47,28
397,289;47,55
397,547;47,75
397,805;47,97
398,062;48,16
398,32;48,38
398,578;48,61
398,836;48,82
399,094;49
399,351;49,23
399,609;49,43
399,867;49,63
400,124;49,84
400,382;50,03
400,64;50,27
400,897;50,5
401,155;50,71
401,413;50,93
401,67;51,13
401,928;51,34
402,185;51,56
402,443;51,77
402,701;51,98
402,958;52,21
403,216;52,4
403,473;52,63
403,73;52,83
403,988;53,03
404,245;53,21
404,503;53,42
404,76;53,61
405,018;53,84
405,275;54,05
405,532;54,24
405,79;54,46
406,047;54,63
406,304;54,82
406,561;55,04
406,819;55,22
407,076;55,43
407,333;55,61
407,59;55,79
407,848;55,97
408,105;56,16
408,362;56,35
408,619;56,56
408,876;56,74
409,133;56,93
409,39;57,16
409,647;57,36
409,904;57,57
410,161;57,76
410,418;57,92
410,675;58,11
410,932;58,29
411,189;58,46
411,446;58,63
411,703;58,81
411,96;58,99
412,217;59,19
412,474;59,37
412,731;59,56
412,988;59,77
413,245;59,93
413,501;60,1
413,758;60,29
414,015;60,49
414,272;60,67
414,529;60,85
414,785;60,98
415,042;61,17
415,299;61,32
415,555;61,47
415,812;61,66
416,069;61,81
416,325;61,98
416,582;62,15
416,838;62,35
417,095;62,51
417,352;62,66
417,608;62,82
417,865;63,01
418,121;63,17
418,378;63,34
418,634;63,5
418,891;63,65
419,147;63,81
419,403;63,96
419,66;64,1
419,916;64,28
420,173;64,44
420,429;64,6
420,685;64,76
420,942;64,94
421,198;65,06
421,454;65,23
421,711;65,39
421,967;65,53
422,223;65,65
422,479;65,8
422,735;65,96
422,992;66,09
423,248;66,21
423,504;66,34
423,76;66,48
424,016;66,65
424,272;66,79
424,528;66,89
424,784;67
425,041;67,15
425,297;67,23
425,553;67,37
425,809;67,49
426,065;67,61
426,32;67,72
426,576;67,86
426,832;67,99
427,088;68,12
427,344;68,25
427,6;68,38
427,856;68,48
428,112;68,59
428,368;68,7
428,623;68,81
428,879;68,93
429,135;69
429,391;69,11
429,646;69,21
429,902;69,33
430,158;69,42
430,414;69,51
430,669;69,64
430,925;69,75
431,181;69,87
431,436;70
431,692;70,1
431,947;70,2
432,203;70,32
432,458;70,4
432,714;70,49
432,97;70,6
433,225;70,69
433,481;70,76
433,736;70,88
433,991;70,97
434,247;71,04
434,502;71,16
434,758;71,26
435,013;71,39
435,268;71,48
435,524;71,59
435,779;71,7
436,034;71,78
436,29;71,87
436,545;71,92
436,8;71,96
437,056;72,04
437,311;72,13
437,566;72,21
437,821;72,26
438,076;72,37
438,331;72,44
438,587;72,53
438,842;72,66
439,097;72,73
439,352;72,86
439,607;72,97
439,862;73,08
440,117;73,16
440,372;73,23
440,627;73,31
440,882;73,39
441,137;73,47
441,392;73,56
441,647;73,62
441,902;73,73
