Data from verderameWhite_Reflection__1__23.txt Node;
"Date: Thu Sep 11 16:21:53 CEST 2025 User: sycur";
346,946;2,75
347,207;2,74
347,468;2,73
347,729;2,72
347,99;2,71
348,251;2,7
348,512;2,7
348,773;2,7
349,034;2,7
349,295;2,7
349,556;2,69
349,817;2,69
350,078;2,68
350,339;2,68
350,6;2,69
350,86;2,68
351,121;2,68
351,382;2,68
351,643;2,67
351,904;2,68
352,165;2,7
352,425;2,7
352,686;2,71
352,947;2,71
353,208;2,71
353,468;2,7
353,729;2,7
353,99;2,71
354,25;2,7
354,511;2,7
354,772;2,7
355,032;2,69
355,293;2,69
355,553;2,68
355,814;2,66
356,074;2,65
356,335;2,67
356,596;2,67
356,856;2,67
357,116;2,68
357,377;2,68
357,637;2,66
357,898;2,65
358,158;2,63
358,419;2,65
358,679;2,65
358,939;2,64
359,2;2,65
359,46;2,64
359,72;2,66
359,981;2,65
360,241;2,63
360,501;2,65
360,761;2,65
361,022;2,65
361,282;2,68
361,542;2,67
361,802;2,67
362,062;2,66
362,323;2,67
362,583;2,68
362,843;2,67
363,103;2,68
363,363;2,67
363,623;2,69
363,883;2,68
364,143;2,67
364,403;2,67
364,663;2,67
364,923;2,67
365,183;2,66
365,443;2,67
365,703;2,68
365,963;2,67
366,223;2,67
366,483;2,69
366,743;2,68
367,002;2,69
367,262;2,7
367,522;2,71
367,782;2,71
368,042;2,7
368,301;2,7
368,561;2,7
368,821;2,7
369,081;2,69
369,34;2,69
369,6;2,71
369,86;2,73
370,119;2,71
370,379;2,72
370,638;2,73
370,898;2,73
371,158;2,74
371,417;2,74
371,677;2,74
371,936;2,74
372,196;2,75
372,455;2,74
372,715;2,72
372,974;2,72
373,234;2,72
373,493;2,74
373,753;2,77
374,012;2,76
374,271;2,77
374,531;2,79
374,79;2,79
375,049;2,79
375,309;2,8
375,568;2,82
375,827;2,83
376,086;2,84
376,346;2,85
376,605;2,86
376,864;2,88
377,123;2,9
377,383;2,89
377,642;2,89
377,901;2,9
378,16;2,91
378,419;2,93
378,678;2,93
378,937;2,93
379,196;2,93
379,455;2,94
379,714;2,95
379,973;2,95
380,232;2,97
380,491;2,98
380,75;2,98
381,009;2,99
381,268;2,99
381,527;3
381,786;3
382,045;3
382,304;3
382,563;2,98
382,821;3
383,08;3,02
383,339;3,03
383,598;3,04
383,857;3,04
384,115;3,04
384,374;3,04
384,633;3,03
384,891;3,04
385,15;3,04
385,409;3,06
385,667;3,07
385,926;3,08
386,185;3,1
386,443;3,1
386,702;3,1
386,96;3,08
387,219;3,09
387,477;3,1
387,736;3,11
387,994;3,13
388,253;3,14
388,511;3,15
388,77;3,16
389,028;3,16
389,287;3,19
389,545;3,23
389,803;3,25
390,062;3,27
390,32;3,29
390,578;3,31
390,837;3,31
391,095;3,31
391,353;3,32
391,612;3,32
391,87;3,35
392,128;3,37
392,386;3,39
392,644;3,43
392,903;3,45
393,161;3,47
393,419;3,5
393,677;3,52
393,935;3,53
394,193;3,55
394,451;3,57
394,709;3,57
394,967;3,58
395,225;3,6
395,483;3,62
395,741;3,63
395,999;3,67
396,257;3,71
396,515;3,73
396,773;3,75
397,031;3,78
397,289;3,81
397,547;3,82
397,805;3,85
398,062;3,85
398,32;3,87
398,578;3,9
398,836;3,92
399,094;3,93
399,351;3,95
399,609;3,96
399,867;3,98
400,124;4
400,382;4,03
400,64;4,06
400,897;4,1
401,155;4,12
401,413;4,13
401,67;4,15
401,928;4,19
402,185;4,2
402,443;4,23
402,701;4,25
402,958;4,26
403,216;4,3
403,473;4,32
403,73;4,34
403,988;4,34
404,245;4,35
404,503;4,38
404,76;4,4
405,018;4,42
405,275;4,44
405,532;4,46
405,79;4,49
406,047;4,5
406,304;4,51
406,561;4,54
406,819;4,55
407,076;4,56
407,333;4,57
407,59;4,62
407,848;4,63
408,105;4,66
408,362;4,69
408,619;4,7
408,876;4,74
409,133;4,76
409,39;4,81
409,647;4,85
409,904;4,88
410,161;4,93
410,418;4,98
410,675;5,03
410,932;5,07
411,189;5,09
411,446;5,13
411,703;5,18
411,96;5,22
412,217;5,25
412,474;5,3
412,731;5,34
412,988;5,37
413,245;5,41
413,501;5,45
413,758;5,5
414,015;5,54
414,272;5,57
414,529;5,6
414,785;5,62
415,042;5,65
415,299;5,67
415,555;5,69
415,812;5,73
416,069;5,77
416,325;5,81
416,582;5,83
416,838;5,88
417,095;5,9
417,352;5,92
417,608;5,98
417,865;6
418,121;6,05
418,378;6,08
418,634;6,12
418,891;6,17
419,147;6,2
419,403;6,26
419,66;6,3
419,916;6,36
420,173;6,41
420,429;6,49
420,685;6,55
420,942;6,61
421,198;6,65
421,454;6,69
421,711;6,73
421,967;6,79
422,223;6,83
422,479;6,88
422,735;6,94
422,992;7
423,248;7,04
423,504;7,1
423,76;7,16
424,016;7,22
424,272;7,27
424,528;7,32
424,784;7,37
425,041;7,43
425,297;7,48
425,553;7,53
425,809;7,57
426,065;7,63
426,32;7,67
426,576;7,72
426,832;7,76
427,088;7,83
427,344;7,91
427,6;7,98
427,856;8,03
428,112;8,1
428,368;8,15
428,623;8,22
428,879;8,26
429,135;8,3
429,391;8,34
429,646;8,39
429,902;8,44
430,158;8,5
430,414;8,55
430,669;8,61
430,925;8,68
431,181;8,74
431,436;8,81
431,692;8,87
431,947;8,92
432,203;8,99
432,458;9,04
432,714;9,07
432,97;9,15
433,225;9,2
433,481;9,25
433,736;9,31
433,991;9,37
434,247;9,43
434,502;9,51
434,758;9,59
435,013;9,66
435,268;9,75
435,524;9,81
435,779;9,89
436,034;9,95
436,29;10,02
436,545;10,1
436,8;10,17
437,056;10,23
437,311;10,31
437,566;10,39
437,821;10,46
438,076;10,53
438,331;10,6
438,587;10,68
438,842;10,76
439,097;10,85
439,352;10,96
439,607;11,03
439,862;11,11
440,117;11,18
440,372;11,27
440,627;11,32
440,882;11,41
441,137;11,48
441,392;11,57
441,647;11,64
441,902;11,73
442,157;11,8
442,412;11,91
442,667;11,99
442,921;12,07
443,176;12,17
443,431;12,26
443,686;12,33
443,941;12,42
444,195;12,51
444,45;12,6
444,705;12,66
444,96;12,74
445,214;12,82
445,469;12,9
445,724;12,96
445,978;13,06
446,233;13,12
446,487;13,2
446,742;13,28
446,997;13,37
447,251;13,42
447,506;13,52
447,76;13,58
448,015;13,67
448,269;13,74
448,524;13,82
448,778;13,89
449,033;13,98
449,287;14,04
449,541;14,11
449,796;14,17
450,05;14,25
450,305;14,34
450,559;14,4
450,813;14,47
451,067;14,56
451,322;14,65
451,576;14,73
451,83;14,82
452,084;14,91
452,339;14,99
452,593;15,07
452,847;15,15
453,101;15,23
453,355;15,31
453,609;15,39
453,864;15,47
454,118;15,57
454,372;15,63
454,626;15,74
454,88;15,83
455,134;15,94
455,388;16,03
455,642;16,11
455,896;16,22
456,15;16,34
456,404;16,44
456,658;16,54
456,912;16,64
457,165;16,75
457,419;16,84
457,673;16,93
457,927;17,02
458,181;17,13
458,435;17,26
458,688;17,35
458,942;17,45
459,196;17,54
459,45;17,63
459,703;17,77
459,957;17,86
460,211;17,94
460,464;17,99
460,718;18,11
460,972;18,21
461,225;18,32
461,479;18,4
461,732;18,5
461,986;18,6
462,239;18,71
462,493;18,81
462,746;18,93
463;19,07
463,253;19,21
463,507;19,3
463,76;19,39
464,014;19,5
464,267;19,63
464,52;19,75
464,774;19,86
465,027;19,94
465,28;20,05
465,534;20,16
465,787;20,3
466,04;20,37
466,294;20,48
466,547;20,56
466,8;20,66
467,053;20,75
467,306;20,86
467,56;20,95
467,813;21,06
468,066;21,16
468,319;21,24
468,572;21,33
468,825;21,43
469,078;21,53
469,331;21,66
469,584;21,76
469,837;21,88
470,09;22
470,343;22,14
470,596;22,29
470,849;22,4
471,102;22,53
471,355;22,68
471,608;22,81
471,861;22,96
472,114;23,11
472,367;23,26
472,619;23,37
472,872;23,52
473,125;23,64
473,378;23,76
473,631;23,87
473,883;24
474,136;24,13
474,389;24,26
474,641;24,35
474,894;24,48
475,147;24,58
475,399;24,71
475,652;24,83
475,905;24,94
476,157;25,06
476,41;25,18
476,662;25,29
476,915;25,41
477,167;25,5
477,42;25,6
477,672;25,71
477,925;25,83
478,177;25,92
478,43;26,02
478,682;26,14
478,934;26,26
479,187;26,37
479,439;26,47
479,691;26,58
479,944;26,71
480,196;26,82
480,448;26,92
480,701;27
480,953;27,1
481,205;27,19
481,457;27,29
481,709;27,4
481,962;27,54
482,214;27,68
482,466;27,86
482,718;28,02
482,97;28,19
483,222;28,36
483,474;28,55
483,726;28,72
483,978;28,86
484,23;28,97
484,482;29,08
484,734;29,18
484,986;29,26
485,238;29,34
485,49;29,42
485,742;29,5
485,994;29,58
486,246;29,65
486,498;29,73
486,75;29,79
487,001;29,85
487,253;29,92
487,505;29,97
487,757;30,01
488,009;30,05
488,26;30,09
488,512;30,12
488,764;30,14
489,015;30,15
