Data from verderameWhite_Reflection__3__25.txt Node;
"Date: Thu Sep 11 16:26:49 CEST 2025 User: sycur";
369,34;5,25
369,6;5,27
369,86;5,3
370,119;5,3
370,379;5,31
370,638;5,33
370,898;5,34
371,158;5,36
371,417;5,37
371,677;5,4
371,936;5,44
372,196;5,46
372,455;5,48
372,715;5,5
372,974;5,52
373,234;5,55
373,493;5,59
373,753;5,62
374,012;5,65
374,271;5,68
374,531;5,71
374,79;5,73
375,049;5,75
375,309;5,79
375,568;5,82
375,827;5,85
376,086;5,87
376,346;5,91
376,605;5,94
376,864;5,98
377,123;6
377,383;6,01
377,642;6,05
377,901;6,07
378,16;6,09
378,419;6,12
378,678;6,13
378,937;6,16
379,196;6,18
379,455;6,21
379,714;6,23
379,973;6,25
380,232;6,29
380,491;6,32
380,75;6,34
381,009;6,36
381,268;6,39
381,527;6,43
381,786;6,45
382,045;6,46
382,304;6,48
382,563;6,5
382,821;6,54
383,08;6,56
383,339;6,58
383,598;6,61
383,857;6,64
384,115;6,68
384,374;6,69
384,633;6,71
384,891;6,74
385,15;6,75
385,409;6,79
385,667;6,83
385,926;6,86
386,185;6,88
386,443;6,9
386,702;6,92
386,96;6,93
387,219;6,95
387,477;6,98
387,736;7
387,994;7,02
388,253;7,04
388,511;7,08
388,77;7,11
389,028;7,13
389,287;7,17
389,545;7,21
389,803;7,24
390,062;7,28
390,32;7,31
390,578;7,35
390,837;7,37
391,095;7,38
391,353;7,39
391,612;7,43
391,87;7,46
392,128;7,49
392,386;7,52
392,644;7,57
392,903;7,6
393,161;7,62
393,419;7,65
393,677;7,68
393,935;7,69
394,193;7,72
394,451;7,75
394,709;7,76
394,967;7,78
395,225;7,81
395,483;7,84
395,741;7,87
395,999;7,9
396,257;7,94
396,515;7,96
396,773;8
397,031;8,01
397,289;8,04
397,547;8,07
397,805;8,09
398,062;8,12
398,32;8,16
398,578;8,19
398,836;8,23
399,094;8,25
399,351;8,29
399,609;8,33
399,867;8,33
400,124;8,38
400,382;8,41
400,64;8,44
400,897;8,47
401,155;8,48
401,413;8,52
401,67;8,54
401,928;8,57
402,185;8,59
402,443;8,63
402,701;8,65
402,958;8,68
403,216;8,71
403,473;8,75
403,73;8,77
403,988;8,79
404,245;8,79
404,503;8,83
404,76;8,84
405,018;8,85
405,275;8,9
405,532;8,91
405,79;8,94
406,047;8,96
406,304;8,98
406,561;9,02
406,819;9,02
407,076;9,06
407,333;9,08
407,59;9,13
407,848;9,16
408,105;9,19
408,362;9,23
408,619;9,25
408,876;9,28
409,133;9,3
409,39;9,35
409,647;9,39
409,904;9,42
410,161;9,45
410,418;9,5
410,675;9,56
410,932;9,59
411,189;9,61
411,446;9,65
411,703;9,7
411,96;9,75
412,217;9,8
412,474;9,84
412,731;9,89
412,988;9,93
413,245;9,96
413,501;10,01
413,758;10,05
414,015;10,09
414,272;10,13
414,529;10,17
414,785;10,19
415,042;10,22
415,299;10,26
415,555;10,31
415,812;10,33
416,069;10,34
416,325;10,38
416,582;10,42
416,838;10,48
417,095;10,48
417,352;10,5
417,608;10,55
417,865;10,58
418,121;10,63
418,378;10,67
418,634;10,73
418,891;10,79
419,147;10,83
419,403;10,87
419,66;10,94
419,916;11,02
420,173;11,09
420,429;11,16
420,685;11,21
420,942;11,29
421,198;11,36
421,454;11,44
421,711;11,48
421,967;11,56
422,223;11,61
422,479;11,68
422,735;11,76
422,992;11,81
423,248;11,86
423,504;11,91
423,76;11,97
424,016;12,02
424,272;12,07
424,528;12,13
424,784;12,18
425,041;12,22
425,297;12,25
425,553;12,29
425,809;12,36
426,065;12,43
426,32;12,48
426,576;12,56
