Data from verderameWhite_Reflection__4__26.txt Node;
"Date: Thu Sep 11 16:28:01 CEST 2025 User: sycur";
429,135;53,73
429,391;53,84
429,646;53,95
429,902;54,06
430,158;54,19
430,414;54,3
430,669;54,44
430,925;54,53
431,181;54,64
431,436;54,75
431,692;54,86
431,947;54,96
432,203;55,08
432,458;55,17
432,714;55,29
432,97;55,37
433,225;55,46
433,481;55,56
433,736;55,71
433,991;55,79
434,247;55,89
434,502;56
434,758;56,1
435,013;56,2
435,268;56,33
435,524;56,44
435,779;56,55
436,034;56,62
436,29;56,72
436,545;56,82
436,8;56,91
437,056;57,01
437,311;57,1
437,566;57,21
437,821;57,3
438,076;57,38
438,331;57,48
438,587;57,62
438,842;57,72
439,097;57,81
439,352;57,97
439,607;58,08
439,862;58,21
440,117;58,31
440,372;58,39
440,627;58,47
440,882;58,54
441,137;58,65
441,392;58,76
441,647;58,84
441,902;58,94
442,157;59,04
442,412;59,13
442,667;59,22
442,921;59,31
443,176;59,43
443,431;59,54
443,686;59,64
443,941;59,69
444,195;59,8
444,45;59,92
444,705;59,96
444,96;60,05
445,214;60,12
445,469;60,2
445,724;60,3
445,978;60,36
446,233;60,44
446,487;60,5
446,742;60,57
446,997;60,68
447,251;60,74
447,506;60,81
447,76;60,88
448,015;60,95
448,269;61,04
448,524;61,1
448,778;61,17
449,033;61,23
449,287;61,3
449,541;61,34
449,796;61,42
450,05;61,5
450,305;61,57
450,559;61,63
450,813;61,71
451,067;61,78
451,322;61,86
451,576;61,95
451,83;62,01
452,084;62,09
452,339;62,15
452,593;62,2
452,847;62,25
453,101;62,31
453,355;62,38
453,609;62,4
453,864;62,46
454,118;62,52
454,372;62,57
454,626;62,64
454,88;62,72
455,134;62,77
455,388;62,84
455,642;62,9
455,896;62,99
456,15;63,04
456,404;63,12
456,658;63,18
456,912;63,25
457,165;63,36
457,419;63,41
457,673;63,43
457,927;63,51
458,181;63,6
458,435;63,69
458,688;63,77
458,942;63,83
459,196;63,89
459,45;63,94
459,703;64,03
459,957;64,1
460,211;64,17
460,464;64,19
460,718;64,26
460,972;64,31
461,225;64,35
461,479;64,42
461,732;64,48
461,986;64,54
462,239;64,59
462,493;64,64
462,746;64,75
463;64,87
463,253;64,95
463,507;65,01
463,76;65,04
464,014;65,08
464,267;65,16
464,52;65,23
464,774;65,3
465,027;65,34
465,28;65,39
465,534;65,42
465,787;65,51
466,04;65,54
466,294;65,59
466,547;65,64
466,8;65,7
467,053;65,72
467,306;65,77
467,56;65,8
467,813;65,83
468,066;65,84
468,319;65,86
468,572;65,88
468,825;65,92
469,078;65,95
469,331;66,01
469,584;66,04
469,837;66,09
470,09;66,14
470,343;66,18
470,596;66,24
470,849;66,28
471,102;66,29
471,355;66,33
471,608;66,39
