Data from GaranzaWhite_Reflection__2__42.txt Node;
335,179;4,3
335,44;4,31
335,702;4,31
335,964;4,32
336,226;4,33
336,488;4,33
336,749;4,33
337,011;4,34
337,273;4,35
337,535;4,36
337,796;4,36
338,058;4,37
338,32;4,39
338,581;4,39
338,843;4,4
339,105;4,41
339,366;4,41
339,628;4,42
339,889;4,43
340,151;4,44
340,412;4,44
340,674;4,45
340,935;4,46
341,197;4,48
341,458;4,48
341,72;4,48
341,981;4,5
342,243;4,5
342,504;4,51
342,766;4,51
343,027;4,51
343,288;4,53
343,55;4,53
343,811;4,53
344,072;4,55
344,334;4,54
344,595;4,54
344,856;4,55
345,117;4,55
345,379;4,56
345,64;4,56
345,901;4,57
346,162;4,57
346,423;4,57
346,684;4,56
346,946;4,56
347,207;4,57
347,468;4,57
347,729;4,59
347,99;4,6
348,251;4,61
348,512;4,62
348,773;4,62
349,034;4,64
349,295;4,65
349,556;4,64
349,817;4,67
350,078;4,69
350,339;4,69
350,6;4,7
350,86;4,71
351,121;4,72
351,382;4,72
351,643;4,73
351,904;4,75
352,165;4,79
352,425;4,81
352,686;4,82
352,947;4,83
353,208;4,85
353,468;4,86
353,729;4,87
353,99;4,88
354,25;4,9
354,511;4,9
354,772;4,91
355,032;4,93
355,293;4,92
355,553;4,93
355,814;4,93
356,074;4,95
356,335;4,95
356,596;4,95
356,856;4,97
357,116;4,98
357,377;4,98
357,637;4,98
357,898;4,99
358,158;5
358,419;5,02
358,679;5
358,939;5,01
359,2;5,03
359,46;5,04
359,72;5,04
359,981;5,06
360,241;5,07
360,501;5,08
360,761;5,1
361,022;5,1
361,282;5,12
361,542;5,12
361,802;5,14
362,062;5,17
362,323;5,18
362,583;5,2
362,843;5,21
363,103;5,23
363,363;5,25
363,623;5,26
363,883;5,26
364,143;5,29
364,403;5,29
364,663;5,31
364,923;5,33
365,183;5,34
365,443;5,35
365,703;5,37
365,963;5,38
366,223;5,39
366,483;5,4
366,743;5,42
367,002;5,44
367,262;5,47
367,522;5,49
367,782;5,5
368,042;5,51
368,301;5,54
368,561;5,54
368,821;5,54
369,081;5,57
369,34;5,57
369,6;5,57
369,86;5,59
370,119;5,57
370,379;5,59
370,638;5,6
370,898;5,59
371,158;5,6
371,417;5,62
371,677;5,64
371,936;5,66
372,196;5,67
372,455;5,67
372,715;5,67
372,974;5,68
373,234;5,7
373,493;5,72
373,753;5,73
374,012;5,77
374,271;5,77
374,531;5,78
374,79;5,81
375,049;5,83
375,309;5,85
375,568;5,89
375,827;5,91
376,086;5,93
376,346;5,97
376,605;6
376,864;6,02
377,123;6,05
377,383;6,06
377,642;6,08
377,901;6,1
378,16;6,11
378,419;6,12
378,678;6,12
378,937;6,12
379,196;6,12
379,455;6,12
379,714;6,15
379,973;6,14
380,232;6,15
380,491;6,18
380,75;6,19
381,009;6,19
381,268;6,2
381,527;6,21
381,786;6,22
382,045;6,21
382,304;6,23
382,563;6,23
382,821;6,26
383,08;6,28
383,339;6,3
383,598;6,3
383,857;6,33
384,115;6,36
384,374;6,39
384,633;6,41
384,891;6,43
385,15;6,45
385,409;6,47
385,667;6,48
385,926;6,48
386,185;6,51
386,443;6,52
386,702;6,54
386,96;6,54
387,219;6,56
387,477;6,59
387,736;6,6
387,994;6,62
388,253;6,63
388,511;6,65
388,77;6,65
389,028;6,7
389,287;6,72
389,545;6,73
389,803;6,73
390,062;6,75
390,32;6,77
390,578;6,78
390,837;6,82
391,095;6,83
391,353;6,86
391,612;6,88
391,87;6,89
392,128;6,91
392,386;6,92
392,644;6,94
392,903;6,94
393,161;6,93
393,419;6,94
393,677;6,94
393,935;6,93
394,193;6,95
394,451;6,94
394,709;6,93
394,967;6,95
395,225;6,98
395,483;7
395,741;7,02
395,999;7,02
396,257;7,03
396,515;7,03
396,773;7,04
397,031;7,03
397,289;7,05
397,547;7,05
397,805;7,05
398,062;7,06
398,32;7,08
398,578;7,1
398,836;7,11
399,094;7,13
399,351;7,13
399,609;7,13
399,867;7,12
400,124;7,12
400,382;7,13
400,64;7,13
400,897;7,13
401,155;7,12
401,413;7,14
401,67;7,13
401,928;7,15
402,185;7,15
402,443;7,18
402,701;7,18
402,958;7,2
403,216;7,21
403,473;7,21
403,73;7,2
403,988;7,23
404,245;7,25
404,503;7,25
404,76;7,28
405,018;7,29
405,275;7,3
405,532;7,31
405,79;7,31
406,047;7,31
406,304;7,32
406,561;7,34
406,819;7,33
407,076;7,34
407,333;7,33
407,59;7,33
407,848;7,33
408,105;7,35
408,362;7,34
408,619;7,35
408,876;7,36
409,133;7,36
409,39;7,34
409,647;7,32
409,904;7,33
410,161;7,33
410,418;7,35
410,675;7,36
410,932;7,38
411,189;7,36
411,446;7,39
411,703;7,39
411,96;7,39
412,217;7,4
412,474;7,4
412,731;7,41
412,988;7,42
413,245;7,42
413,501;7,38
413,758;7,39
414,015;7,39
414,272;7,38
414,529;7,38
414,785;7,4
415,042;7,4
415,299;7,38
415,555;7,37
415,812;7,36
416,069;7,34
416,325;7,32
416,582;7,33
416,838;7,31
417,095;7,29
417,352;7,27
417,608;7,26
417,865;7,24
418,121;7,25
418,378;7,25
418,634;7,24
418,891;7,27
419,147;7,26
419,403;7,26
419,66;7,26
419,916;7,26
420,173;7,26
420,429;7,26
420,685;7,27
420,942;7,28
421,198;7,28
421,454;7,29
421,711;7,31
421,967;7,3
422,223;7,29
422,479;7,31
422,735;7,31
422,992;7,3
423,248;7,3
423,504;7,28
423,76;7,29
424,016;7,29
424,272;7,3
424,528;7,3
424,784;7,31
425,041;7,32
425,297;7,31
425,553;7,3
425,809;7,3
426,065;7,28
426,32;7,28
426,576;7,26
426,832;7,27
427,088;7,24
427,344;7,24
427,6;7,24
427,856;7,24
428,112;7,26
