Data from GaranzaWhite_Reflection__3__43.txt Node;
330,462;12,59
330,725;12,61
330,987;12,61
331,249;12,61
331,511;12,62
331,773;12,63
332,035;12,65
332,297;12,66
332,559;12,67
332,821;12,68
333,083;12,69
333,345;12,7
333,607;12,7
333,869;12,72
334,131;12,72
334,393;12,75
334,655;12,76
334,917;12,8
335,179;12,82
335,44;12,84
335,702;12,85
335,964;12,89
336,226;12,9
336,488;12,93
336,749;12,96
337,011;13
337,273;13,02
337,535;13,05
337,796;13,07
338,058;13,12
338,32;13,14
338,581;13,16
338,843;13,2
339,105;13,25
339,366;13,27
339,628;13,32
339,889;13,34
340,151;13,37
340,412;13,38
340,674;13,41
340,935;13,43
341,197;13,48
341,458;13,51
341,72;13,54
341,981;13,55
342,243;13,58
342,504;13,59
342,766;13,61
343,027;13,61
343,288;13,63
343,55;13,62
343,811;13,64
344,072;13,65
344,334;13,64
344,595;13,64
344,856;13,65
345,117;13,64
345,379;13,66
345,64;13,66
345,901;13,67
346,162;13,66
346,423;13,68
346,684;13,66
346,946;13,67
347,207;13,66
347,468;13,66
347,729;13,67
347,99;13,67
348,251;13,67
348,512;13,69
348,773;13,7
349,034;13,73
349,295;13,71
349,556;13,72
349,817;13,74
350,078;13,77
350,339;13,77
350,6;13,78
350,86;13,78
351,121;13,8
351,382;13,8
351,643;13,83
351,904;13,84
352,165;13,88
352,425;13,88
352,686;13,93
352,947;13,95
353,208;13,97
353,468;14
353,729;14,02
353,99;14,04
354,25;14,07
354,511;14,08
354,772;14,13
355,032;14,16
355,293;14,18
355,553;14,21
355,814;14,24
356,074;14,29
356,335;14,31
356,596;14,33
356,856;14,37
357,116;14,39
357,377;14,44
357,637;14,46
357,898;14,5
358,158;14,5
358,419;14,55
358,679;14,55
358,939;14,59
359,2;14,63
359,46;14,66
359,72;14,67
359,981;14,72
360,241;14,73
360,501;14,76
360,761;14,78
361,022;14,8
361,282;14,82
361,542;14,84
361,802;14,88
362,062;14,92
362,323;14,94
362,583;14,98
362,843;14,99
363,103;15,02
363,363;15,05
363,623;15,08
363,883;15,09
364,143;15,14
364,403;15,14
364,663;15,17
364,923;15,19
365,183;15,22
365,443;15,24
365,703;15,28
365,963;15,3
366,223;15,33
366,483;15,35
366,743;15,4
367,002;15,41
367,262;15,45
367,522;15,47
367,782;15,49
368,042;15,5
368,301;15,54
368,561;15,56
368,821;15,58
369,081;15,59
369,34;15,63
369,6;15,63
369,86;15,67
370,119;15,68
370,379;15,71
370,638;15,75
370,898;15,78
371,158;15,79
371,417;15,83
371,677;15,86
371,936;15,91
372,196;15,93
372,455;15,96
372,715;15,98
372,974;16,03
373,234;16,06
373,493;16,11
373,753;16,13
374,012;16,18
374,271;16,2
374,531;16,26
374,79;16,29
375,049;16,34
375,309;16,37
375,568;16,42
375,827;16,44
376,086;16,49
376,346;16,53
376,605;16,58
376,864;16,63
377,123;16,68
377,383;16,72
377,642;16,77
377,901;16,8
378,16;16,84
378,419;16,86
378,678;16,89
378,937;16,9
379,196;16,95
379,455;16,95
379,714;16,99
379,973;17
380,232;17,05
380,491;17,08
380,75;17,13
381,009;17,17
381,268;17,2
381,527;17,21
381,786;17,24
382,045;17,26
382,304;17,27
382,563;17,28
382,821;17,3
