Data from GaranzaWhite_Reflection__0__40.txt Node;
415,555;1,46
415,812;1,45
416,069;1,44
416,325;1,44
416,582;1,45
416,838;1,44
417,095;1,42
417,352;1,39
417,608;1,41
417,865;1,41
418,121;1,41
418,378;1,41
418,634;1,43
418,891;1,45
419,147;1,46
419,403;1,46
419,66;1,45
419,916;1,47
420,173;1,48
420,429;1,48
420,685;1,5
420,942;1,48
421,198;1,49
421,454;1,48
421,711;1,5
421,967;1,49
422,223;1,48
422,479;1,49
422,735;1,5
422,992;1,49
423,248;1,48
423,504;1,47
423,76;1,48
424,016;1,48
424,272;1,49
424,528;1,5
424,784;1,52
425,041;1,51
425,297;1,49
425,553;1,5
425,809;1,49
426,065;1,5
426,32;1,49
426,576;1,48
426,832;1,48
427,088;1,44
427,344;1,44
427,6;1,45
427,856;1,46
428,112;1,46
428,368;1,47
428,623;1,46
428,879;1,45
429,135;1,45
429,391;1,43
429,646;1,43
429,902;1,41
430,158;1,4
430,414;1,4
430,669;1,42
430,925;1,39
431,181;1,39
431,436;1,39
431,692;1,4
431,947;1,41
432,203;1,4
432,458;1,41
432,714;1,4
432,97;1,38
433,225;1,36
433,481;1,35
433,736;1,36
433,991;1,36
434,247;1,37
434,502;1,36
434,758;1,38
435,013;1,38
435,268;1,4
435,524;1,41
435,779;1,42
436,034;1,41
436,29;1,42
436,545;1,42
436,8;1,42
437,056;1,41
437,311;1,42
437,566;1,43
437,821;1,44
438,076;1,46
438,331;1,46
438,587;1,46
438,842;1,47
439,097;1,45
439,352;1,47
439,607;1,46
439,862;1,47
440,117;1,46
440,372;1,45
440,627;1,44
440,882;1,43
441,137;1,42
441,392;1,41
441,647;1,4
441,902;1,41
442,157;1,41
442,412;1,41
442,667;1,41
442,921;1,4
443,176;1,4
443,431;1,4
443,686;1,41
443,941;1,41
444,195;1,41
444,45;1,42
444,705;1,41
444,96;1,41
445,214;1,4
445,469;1,4
445,724;1,4
445,978;1,42
446,233;1,41
446,487;1,4
446,742;1,41
446,997;1,4
447,251;1,4
447,506;1,41
447,76;1,41
448,015;1,42
448,269;1,41
448,524;1,4
448,778;1,39
449,033;1,39
449,287;1,4
449,541;1,39
449,796;1,38
450,05;1,39
450,305;1,38
450,559;1,37
450,813;1,38
451,067;1,37
451,322;1,37
451,576;1,36
451,83;1,37
452,084;1,38
452,339;1,36
452,593;1,36
452,847;1,35
453,101;1,36
453,355;1,35
453,609;1,34
453,864;1,36
454,118;1,36
454,372;1,35
